source_dataset,trajectory_family,trajectory_id,trajectory_identity,snr_db,seed,trajectory_seed,noise_seed,trial_index,decoded_success,max_abs_frequency_hz,frequency_rms_hz,max_abs_phase_rad,phase_rms_rad,first_difference_rms_hz,total_variation_hz,second_difference_rms_hz,normalized_first_difference_rms,normalized_second_difference_rms,snr_c
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100299,,2026100299,99,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100200,,2026100200,0,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100204,,2026100204,4,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100202,,2026100202,2,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100203,,2026100203,3,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100201,,2026100201,1,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100208,,2026100208,8,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100205,,2026100205,5,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100207,,2026100207,7,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100206,,2026100206,6,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100211,,2026100211,11,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100209,,2026100209,9,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100210,,2026100210,10,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100214,,2026100214,14,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100215,,2026100215,15,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100212,,2026100212,12,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100216,,2026100216,16,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100219,,2026100219,19,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100217,,2026100217,17,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100220,,2026100220,20,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100221,,2026100221,21,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100222,,2026100222,22,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100223,,2026100223,23,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100218,,2026100218,18,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100213,,2026100213,13,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100226,,2026100226,26,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100227,,2026100227,27,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100225,,2026100225,25,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100224,,2026100224,24,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100231,,2026100231,31,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100229,,2026100229,29,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100232,,2026100232,32,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100230,,2026100230,30,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100235,,2026100235,35,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100234,,2026100234,34,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100236,,2026100236,36,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100237,,2026100237,37,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100228,,2026100228,28,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100239,,2026100239,39,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100240,,2026100240,40,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100233,,2026100233,33,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100241,,2026100241,41,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100242,,2026100242,42,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100243,,2026100243,43,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100245,,2026100245,45,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100238,,2026100238,38,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100247,,2026100247,47,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100249,,2026100249,49,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100248,,2026100248,48,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100250,,2026100250,50,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100252,,2026100252,52,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100251,,2026100251,51,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100244,,2026100244,44,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100253,,2026100253,53,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100246,,2026100246,46,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100254,,2026100254,54,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100256,,2026100256,56,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100257,,2026100257,57,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100260,,2026100260,60,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100258,,2026100258,58,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100261,,2026100261,61,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100263,,2026100263,63,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100255,,2026100255,55,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100262,,2026100262,62,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100265,,2026100265,65,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100259,,2026100259,59,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_negative,quadratic_-0.25,quadratic_-0.25,-30.0,2026100266,,2026100266,66,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
